Paragraph,Polarity,Subjectivity
137,0.12880036630036631,0.441620879120879
138,-0.11041666666666666,0.3083333333333333
139,-0.34393939393939393,0.5840909090909091
140,-0.21999999999999997,0.6599999999999999
141,0.13341836734693877,0.5596938775510204
142,0.25,0.6222222222222221
143,0.199025974025974,0.4405844155844156
144,0.16000000000000003,0.532037037037037
145,0.1650802139037433,0.5360516934046345
146,-0.0031250000000000028,0.5072916666666667
147,0.07358695652173912,0.5852173913043479
148,0.13999999999999999,0.5066666666666666
149,0.09603174603174604,0.4357142857142857
150,0.18019607843137253,0.592843137254902
151,0.39642857142857146,0.7583333333333334
152,0.26781609195402295,0.4231800766283525
153,-0.11249999999999999,0.6583333333333333
154,0.19633333333333336,0.5055555555555555
155,0.2896258503401361,0.503061224489796
156,0.11051587301587301,0.3609126984126984
157,0.028333333333333335,0.5409259259259259
158,0.09,0.375
159,0.2772727272727273,0.5878787878787879
160,0.031473214285714285,0.36138392857142865
161,0.04699404761904762,0.562202380952381
162,0.06785714285714285,0.3507936507936509
163,0.16666666666666666,0.44583333333333336
164,0.2420634920634921,0.43365079365079356
165,0.11595238095238096,0.4417063492063492
166,0.06042692939244665,0.5554187192118228
167,0.10625000000000001,0.3902243589743589
168,0.175,0.5023809523809524
169,-0.010317460317460317,0.47103174603174597
170,0.16263227513227513,0.5438095238095236
171,0.1613095238095238,0.5677248677248677
172,-0.11071428571428572,0.29897959183673467
173,0.2244047619047619,0.5869047619047618
174,0.13593073593073596,0.44853896103896107
175,0.2,0.53
176,0.11041666666666668,0.4826388888888889
177,0.06883116883116881,0.5683116883116882
178,0.2794642857142857,0.6285714285714287
179,0.09427083333333335,0.49146634615384616
180,0.12521008403361347,0.4836834733893557
181,0.13846153846153847,0.5871794871794872
182,0.30000000000000004,0.6833333333333333
183,0.22500000000000003,0.5677777777777778
184,0.09702380952380951,0.4017857142857143
185,0.33306878306878307,0.5541005291005292
186,0.2263888888888889,0.5805555555555556
187,0.12083333333333332,0.518349358974359
188,0.11388888888888889,0.47500000000000003
189,0.024999999999999994,0.49563492063492065
190,0.1802188552188552,0.5719696969696969
191,0.1625714285714286,0.43042857142857144
192,0.14516129032258066,0.5393093465674111
193,-0.05925925925925927,0.6064814814814814
194,0.31269841269841264,0.621031746031746
195,0.0806776556776557,0.5997557997557997
196,-0.09814814814814815,0.45787037037037037
197,0.08333333333333331,0.5833333333333335
198,0.1753006253006253,0.5115680615680614
199,0.08717948717948718,0.46666666666666673
200,0.26666666666666666,0.6022727272727273
201,0.15347222222222223,0.4767361111111112
202,0.16062499999999996,0.6025
203,-0.2722222222222222,0.561111111111111
204,0.16340277777777776,0.42984126984126986
205,0.19194214876033058,0.5193526170798898
206,-0.15454545454545457,0.4681818181818182
207,0.29375,0.65625
208,0.09166666666666667,0.425
209,0.055208333333333325,0.415625
210,0.5,0.8333333333333334
211,0.06000000000000001,0.6166666666666667
212,0.0,0.0
213,0.39374999999999993,0.6083333333333333
214,0.275,0.47500000000000003
215,0.0,0.2222222222222222
216,-0.04999999999999999,0.35
217,0.0,0.0
218,0.2,1.0
219,0.0,0.4423076923076923
220,-0.1125,0.2875
221,0.17954545454545456,0.5121212121212122
222,0.08111111111111112,0.5722222222222223
223,0.31830303030303037,0.5441212121212121
224,0.3,0.6166666666666667
225,0.08333333333333333,0.45
226,0.36,0.5083333333333333
227,0.24422799422799424,0.6168799102132437
228,0.33459595959595956,0.7079124579124579
229,0.02954545454545454,0.6234848484848485
230,0.3,0.44166666666666665
